# Quarkdown v2.5.1 @QFunction public inventory; generated from the pinned source sweep.
# Columns: public-name\texact-public-signature\tpinned-source\t#151-disposition/owner\t#147-status
# Binding annotations are retained in parameter markers: [injected], [body],
# [spread], [likely-named], and [likely-body]. `inferred` preserves a source
# declaration without an explicit Kotlin return type.
pageformat	pageformat(context[injected]: MutableContext, side[likely-named]: PageSide? = null, pages: Range? = null, size: PageSizeFormat? = null, orientation[likely-named]: PageOrientation = context.documentInfo.type.preferredOrientation, width[likely-named]: Size? = null, height[likely-named]: Size? = null, margin[likely-named]: Sizes? = null, bordertop: Size? = null, borderright: Size? = null, borderbottom: Size? = null, borderleft: Size? = null, bordercolor: Color? = null, background: Color? = null, columns[likely-named]: Int? = null, alignment[likely-named]: NodeStyle.TextAlignment? = null) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L707-L724	#153	NOT_APPLICABLE
pagemargin	pagemargin(position: PageMarginPosition, content[likely-body]: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L778-L781	#153	NOT_APPLICABLE
footer	footer(content[likely-body]: MarkdownContent) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L799-L801	#153	NOT_APPLICABLE
currentpage	currentpage() -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L817-L817	#153	NOT_APPLICABLE
totalpages	totalpages() -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L829-L829	#153	NOT_APPLICABLE
formatpagenumber	formatpagenumber(format: String) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L844-L844	#153	NOT_APPLICABLE
resetpagenumber	resetpagenumber(start: Int = 1) -> NodeValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L860-L862	#153	NOT_APPLICABLE
lastheading	lastheading(depth: Int) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L920-L920	#153	NOT_APPLICABLE
autopagebreak	autopagebreak(context[injected]: MutableContext, maxdepth: Int) -> VoidValue	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L939-L942	#153	NOT_APPLICABLE
noautopagebreak	noautopagebreak(context[injected]: MutableContext) -> inferred	https://github.com/iamgio/quarkdown/blob/107ec3a9482f10d6f90d7580f8409b46a719d18e/quarkdown-stdlib/src/main/kotlin/com/quarkdown/stdlib/Document.kt#L958-L960	#153	NOT_APPLICABLE
